input_len,output_len,layer_size,encoder_type,encoder_layers,decoder_type,decoder_layers,attention_type,attention_scale,attention_dropout,attention_causal,num,epoch,ensemble,smape,mase*
18,6,128,bi,2,uni,1,none,False,0.0,False,4,9,False,22.261619254581507,4.635964093630299
18,6,128,bi,2,uni,1,none,False,0.0,False,4,9,True,22.261702788649146,4.635984260396922
18,6,128,bi,2,uni,1,none,False,0.0,False,4,10,False,22.261604167541567,4.635960441918798
18,6,128,bi,2,uni,1,none,False,0.0,False,4,10,True,22.261690005736032,4.635981170269347
18,6,128,bi,2,uni,1,none,False,0.0,False,4,11,False,22.261590432469358,4.635957132986749
18,6,128,bi,2,uni,1,none,False,0.0,False,4,11,True,22.261677224767183,4.635978086095423
18,6,128,bi,2,uni,1,none,False,0.0,False,4,12,False,22.261579073562597,4.635954404691857
18,6,128,bi,2,uni,1,none,False,0.0,False,4,12,True,22.261665991335708,4.6359753721815755
18,6,128,bi,2,uni,1,none,False,0.0,False,4,13,False,22.26156787501722,4.635951706950576
18,6,128,bi,2,uni,1,none,False,0.0,False,4,13,True,22.261654711154023,4.635972636974697
18,6,128,bi,2,uni,1,none,False,0.0,False,4,14,False,22.261557438629154,4.635949193092208
18,6,128,bi,2,uni,1,none,False,0.0,False,4,14,True,22.26164544682647,4.635970404289648
18,6,128,bi,2,uni,1,none,False,0.0,False,4,15,False,22.261548471612567,4.635947045062516
18,6,128,bi,2,uni,1,none,False,0.0,False,4,15,True,22.26163619585843,4.635968178502692
18,6,128,bi,2,uni,1,none,False,0.0,False,5,1,False,22.262199344056725,4.636103915624851
18,6,128,bi,2,uni,1,none,False,0.0,False,5,1,True,22.262199344056725,4.636103915624851
18,6,128,bi,2,uni,1,none,False,0.0,False,5,2,False,22.262113347380517,4.636083194068647
18,6,128,bi,2,uni,1,none,False,0.0,False,5,2,True,22.26215634517552,4.6360935563690715
18,6,128,bi,2,uni,1,none,False,0.0,False,5,3,False,22.262033263958855,4.63606394803781
18,6,128,bi,2,uni,1,none,False,0.0,False,5,3,True,22.262113347380517,4.636083194068647
18,6,128,bi,2,uni,1,none,False,0.0,False,5,4,False,22.261949805278675,4.636043900614872
18,6,128,bi,2,uni,1,none,False,0.0,False,5,4,True,22.262073305036903,4.636073572675896
18,6,128,bi,2,uni,1,none,False,0.0,False,5,5,False,22.26189711790176,4.636031175451802
18,6,128,bi,2,uni,1,none,False,0.0,False,5,5,True,22.262033263958855,4.63606394803781
18,6,128,bi,2,uni,1,none,False,0.0,False,5,6,False,22.261857249161412,4.636021546412909
18,6,128,bi,2,uni,1,none,False,0.0,False,5,6,True,22.261991532420662,4.636053923446497
18,6,128,bi,2,uni,1,none,False,0.0,False,5,7,False,22.26182379694625,4.636013483337088
18,6,128,bi,2,uni,1,none,False,0.0,False,5,7,True,22.261949805278675,4.636043900614872
18,6,128,bi,2,uni,1,none,False,0.0,False,5,8,False,22.261794086318247,4.636006305507671
18,6,128,bi,2,uni,1,none,False,0.0,False,5,8,True,22.261923450649142,4.636037531160033
18,6,128,bi,2,uni,1,none,False,0.0,False,5,9,False,22.26176850218942,4.636000154798681
18,6,128,bi,2,uni,1,none,False,0.0,False,5,9,True,22.26189711790176,4.636031175451802
18,6,128,bi,2,uni,1,none,False,0.0,False,5,10,False,22.261744523849398,4.63599436522834
18,6,128,bi,2,uni,1,none,False,0.0,False,5,10,True,22.261877189862574,4.6360263661739625
18,6,128,bi,2,uni,1,none,False,0.0,False,5,11,False,22.261724147835203,4.635989472674831
18,6,128,bi,2,uni,1,none,False,0.0,False,5,11,True,22.261857249161412,4.636021546412909
18,6,128,bi,2,uni,1,none,False,0.0,False,5,12,False,22.261704842433357,4.635984822151291
18,6,128,bi,2,uni,1,none,False,0.0,False,5,12,True,22.26184051949826,4.63601751206001
18,6,128,bi,2,uni,1,none,False,0.0,False,5,13,False,22.261687164727473,4.635980545108692
18,6,128,bi,2,uni,1,none,False,0.0,False,5,13,True,22.26182379694625,4.636013483337088
18,6,128,bi,2,uni,1,none,False,0.0,False,5,14,False,22.26167183234611,4.635976859899281
18,6,128,bi,2,uni,1,none,False,0.0,False,5,14,True,22.26180893702253,4.636009890918309
18,6,128,bi,2,uni,1,none,False,0.0,False,5,15,False,22.261657089806445,4.635973319053483
18,6,128,bi,2,uni,1,none,False,0.0,False,5,15,True,22.261794086318247,4.636006305507671
18,6,128,bi,2,uni,1,none,False,0.0,False,6,1,False,22.261957611080277,4.636045227345755
18,6,128,bi,2,uni,1,none,False,0.0,False,6,1,True,22.261957611080277,4.636045227345755
18,6,128,bi,2,uni,1,none,False,0.0,False,6,2,False,22.261895940885204,4.636030375097831
18,6,128,bi,2,uni,1,none,False,0.0,False,6,2,True,22.261926782726487,4.636037802886857
18,6,128,bi,2,uni,1,none,False,0.0,False,6,3,False,22.26184502508053,4.636018110155356
18,6,128,bi,2,uni,1,none,False,0.0,False,6,3,True,22.261895940885204,4.636030375097831
18,6,128,bi,2,uni,1,none,False,0.0,False,6,4,False,22.26180104051189,4.636007547042483
18,6,128,bi,2,uni,1,none,False,0.0,False,6,4,True,22.261870485943767,4.636024243066581
18,6,128,bi,2,uni,1,none,False,0.0,False,6,5,False,22.261763770590004,4.635998549870175
18,6,128,bi,2,uni,1,none,False,0.0,False,6,5,True,22.26184502508053,4.636018110155356
18,6,128,bi,2,uni,1,none,False,0.0,False,6,6,False,22.26173177314442,4.635990849337645
18,6,128,bi,2,uni,1,none,False,0.0,False,6,6,True,22.261823034249037,4.636012829169676
18,6,128,bi,2,uni,1,none,False,0.0,False,6,7,False,22.26170439650487,4.635984271087091
18,6,128,bi,2,uni,1,none,False,0.0,False,6,7,True,22.26180104051189,4.636007547042483
18,6,128,bi,2,uni,1,none,False,0.0,False,6,8,False,22.261681468482845,4.635978761631979
18,6,128,bi,2,uni,1,none,False,0.0,False,6,8,True,22.261782418965794,4.636003054996826
18,6,128,bi,2,uni,1,none,False,0.0,False,6,9,False,22.26166075787881,4.635973787941373
18,6,128,bi,2,uni,1,none,False,0.0,False,6,9,True,22.261763770590004,4.635998549870175
18,6,128,bi,2,uni,1,none,False,0.0,False,6,10,False,22.261642013401186,4.635969293640279
18,6,128,bi,2,uni,1,none,False,0.0,False,6,10,True,22.26174776712575,4.635994695619934
18,6,128,bi,2,uni,1,none,False,0.0,False,6,11,False,22.261625825869825,4.635965408401696
18,6,128,bi,2,uni,1,none,False,0.0,False,6,11,True,22.26173177314442,4.635990849337645
18,6,128,bi,2,uni,1,none,False,0.0,False,6,12,False,22.261611314105153,4.635961931908584
18,6,128,bi,2,uni,1,none,False,0.0,False,6,12,True,22.26171807178315,4.635987557604963
18,6,128,bi,2,uni,1,none,False,0.0,False,6,13,False,22.261598394374246,4.6359588223466535
18,6,128,bi,2,uni,1,none,False,0.0,False,6,13,True,22.26170439650487,4.635984271087091
18,6,128,bi,2,uni,1,none,False,0.0,False,6,14,False,22.2615861343461,4.6359558813568436
18,6,128,bi,2,uni,1,none,False,0.0,False,6,14,True,22.261692940076237,4.635981518705824
18,6,128,bi,2,uni,1,none,False,0.0,False,6,15,False,22.261575712907337,4.63595338626539
18,6,128,bi,2,uni,1,none,False,0.0,False,6,15,True,22.261681468482845,4.635978761631979
18,6,128,bi,2,uni,1,none,False,0.0,False,7,1,False,22.261836286034598,4.636016369026322
18,6,128,bi,2,uni,1,none,False,0.0,False,7,1,True,22.261836286034598,4.636016369026322
18,6,128,bi,2,uni,1,none,False,0.0,False,7,2,False,22.261783062855205,4.636003572848583
18,6,128,bi,2,uni,1,none,False,0.0,False,7,2,True,22.26180967883637,4.636009971268929
18,6,128,bi,2,uni,1,none,False,0.0,False,7,3,False,22.26174333120325,4.6359939827848775
18,6,128,bi,2,uni,1,none,False,0.0,False,7,3,True,22.261783062855205,4.636003572848583
18,6,128,bi,2,uni,1,none,False,0.0,False,7,4,False,22.261710643389986,4.635986073427186
18,6,128,bi,2,uni,1,none,False,0.0,False,7,4,True,22.2617632010684,4.635998779123662
18,6,128,bi,2,uni,1,none,False,0.0,False,7,5,False,22.261682862902312,4.635979370014514
18,6,128,bi,2,uni,1,none,False,0.0,False,7,5,True,22.26174333120325,4.6359939827848775
18,6,128,bi,2,uni,1,none,False,0.0,False,7,6,False,22.2616590330179,4.635973614786666
18,6,128,bi,2,uni,1,none,False,0.0,False,7,6,True,22.261726991466446,4.635990026515396
18,6,128,bi,2,uni,1,none,False,0.0,False,7,7,False,22.261638910730678,4.6359687630176385
18,6,128,bi,2,uni,1,none,False,0.0,False,7,7,True,22.261710643389986,4.635986073427186
18,6,128,bi,2,uni,1,none,False,0.0,False,7,8,False,22.261621028941995,4.635964458019396
18,6,128,bi,2,uni,1,none,False,0.0,False,7,8,True,22.26169674715011,4.635982718242819
18,6,128,bi,2,uni,1,none,False,0.0,False,7,9,False,22.261605332187106,4.635960678941837
18,6,128,bi,2,uni,1,none,False,0.0,False,7,9,True,22.261682862902312,4.635979370014514
18,6,128,bi,2,uni,1,none,False,0.0,False,7,10,False,22.2615908365364,4.635957167686905
18,6,128,bi,2,uni,1,none,False,0.0,False,7,10,True,22.26167094709179,4.6359764929049465
18,6,128,bi,2,uni,1,none,False,0.0,False,7,11,False,22.26157733486726,4.63595391774475
18,6,128,bi,2,uni,1,none,False,0.0,False,7,11,True,22.2616590330179,4.635973614786666
18,6,128,bi,2,uni,1,none,False,0.0,False,7,12,False,22.26156702185967,4.635951438360729
18,6,128,bi,2,uni,1,none,False,0.0,False,7,12,True,22.261648970030304,4.635971187507491
18,6,128,bi,2,uni,1,none,False,0.0,False,7,13,False,22.261556103612122,4.635948802378783
18,6,128,bi,2,uni,1,none,False,0.0,False,7,13,True,22.261638910730678,4.6359687630176385
18,6,128,bi,2,uni,1,none,False,0.0,False,7,14,False,22.26154681901045,4.635946593387132
18,6,128,bi,2,uni,1,none,False,0.0,False,7,14,True,22.261629966219104,4.6359666075090855
18,6,128,bi,2,uni,1,none,False,0.0,False,7,15,False,22.261537808372957,4.635944401127184
18,6,128,bi,2,uni,1,none,False,0.0,False,7,15,True,22.261621028941995,4.635964458019396
18,6,128,bi,2,uni,1,none,False,0.0,False,8,1,False,22.261912384472954,4.6360344015588835
18,6,128,bi,2,uni,1,none,False,0.0,False,8,1,True,22.261912384472954,4.6360344015588835
18,6,128,bi,2,uni,1,none,False,0.0,False,8,2,False,22.261854002667388,4.636020360940603
18,6,128,bi,2,uni,1,none,False,0.0,False,8,2,True,22.26188320448027,4.636027385525482
18,6,128,bi,2,uni,1,none,False,0.0,False,8,3,False,22.261802009701505,4.636007888051664
18,6,128,bi,2,uni,1,none,False,0.0,False,8,3,True,22.261854002667388,4.636020360940603
18,6,128,bi,2,uni,1,none,False,0.0,False,8,4,False,22.261738835615606,4.635992723815493
18,6,128,bi,2,uni,1,none,False,0.0,False,8,4,True,22.261827994306778,4.636014119622711
18,6,128,bi,2,uni,1,none,False,0.0,False,8,5,False,22.26170459374375,4.635984471125918
18,6,128,bi,2,uni,1,none,False,0.0,False,8,5,True,22.261802009701505,4.636007888051664
18,6,128,bi,2,uni,1,none,False,0.0,False,8,6,False,22.261678157644184,4.635978103163808
18,6,128,bi,2,uni,1,none,False,0.0,False,8,6,True,22.261770427102118,4.636000309404615
